ico_name,member_order,member_name,position,description,linktype,link,member_type
Infinitus Token,4,Teresa Tan,COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/teresa-tan-947086123/,normal
Infinitus Token,5,Ting Shang Ping,Algorithm Cryptotrading and Liquidity Provider,Participates in several projects,linkedin,https://www.linkedin.com/in/tingshangping/,normal
Infinitus Token,6,Jose Escudero,Strategy and Marketing,Takes part in this project only,linkedin,https://www.linkedin.com/in/jose-escudero-b4589219/,normal
Infinitus Token,7,Claire Tan,Public Relations,Takes part in this project only,linkedin,https://www.linkedin.com/in/claire-tan-17315313a/,normal
Infinitus Token,8,Marcus Yuen,Platform Technology,Takes part in this project only,linkedin,https://www.linkedin.com/in/marcus-yuen-86354515/,normal
Geeba,1,Ahmed Mohamedali,CEO,Takes part in this project only,linkedin,http://https//www.linkedin.com/in/ahmedmohamedali/%0D,normal
Geeba,2,Amr Abdelhady,Managing Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/amr-abdelhady-2b16ab56/,normal
Geeba,3,Munera Al Dosari,Strategy and Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/munera-al-dosari-78b41642/,normal
Geeba,4,Ezz Eldin Ali,Commercialization,Takes part in this project only,linkedin,https://www.linkedin.com/in/ezz-eldin-ali-el-abd-46ba2430/,normal
Geeba,5,Nebras Ozzo,Al and Robots Engineering,Takes part in this project only,linkedin,https://www.linkedin.com/in/nebras-ozzo/,normal
Geeba,6,David Meszaros,Legal,Participates in a number of projects,linkedin,https://www.linkedin.com/in/meszaroslaw/,normal
Geeba,7,Webster Tai,Innovation,Takes part in this project only,linkedin,https://www.linkedin.com/in/heywebster/,normal
Geeba,8,Marcin Rychter,Blockchain Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/marcin-richter-44790035/,normal
Geeba,9,Anis Touibi,Software Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/anis-touibi-029a946b/,normal
Geeba,10,Musab Al Mozien,Mechanical Engineering,Takes part in this project only,linkedin,https://www.linkedin.com/in/mozien91/,normal
Geeba,11,Alaeldien AbouHamda,Product Management,Takes part in this project only,linkedin,https://www.linkedin.com/in/alaeldien-abouhamda-547b03110/,normal
Geeba,12,Bram Beugels,Industrial Designing,Takes part in this project only,linkedin,https://www.linkedin.com/in/bram-beugels-88359b109/,normal
Geeba,13,James Thorp,Public Relations,No participating data,website,https://www.geeba.io/,normal
Geeba,14,Charles Nolan,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/charlesnolan/,advsisor
Geeba,15,Paul Andrus,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/paul-andrus-0638927/,advsisor
Geeba,16,Sheikh khalid bin Nasser Al-Thani,Advisor,No participating data,website,http://www.qgirco.com/about-us/management/management-team/,advsisor
Geeba,17,Fatima Al Kuwari,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/fatima-al-kuwari-26a42825/,advsisor
Geeba,18,Simon Hassannia,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/dr-simon-hassannia/,advsisor
Geeba,19,Ehab Awad,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/dr-ehab-awad-37b49857/,advsisor
Geeba,20,Mohamed Gabr,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/mohamed-gabr-deputy-g-m-fci-fidic-pmp-contracts-managment-0ba52b33,advsisor
ROOMDAO,1,Andrei Dutov,Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/andrei-dutov-598971151/,normal
ROOMDAO,2,Alexander Matushevich,CFO,Takes part in this project only,linkedin,https://www.linkedin.com/in/alexander-matushevich-29486415b/,normal
ROOMDAO,3,Mikhail Sulaberidze,Co-Founder,No participating data,website,https://www.facebook.com/mikhail.sulaberidze,normal
ROOMDAO,4,Ulyana Vlasenko,Marketing Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/uliana-vlasenko-8a228244/,normal
ROOMDAO,5,Maxim Khaleev,System Manager,No participating data,website,https://www.facebook.com/maksim.vegas.50,normal
ROOMDAO,6,Alexander Samardak,VP Busines development,Takes part in this project only,linkedin,https://www.linkedin.com/in/alex-samardak-32249221/,normal
ROOMDAO,7,Inna Petrenko,Director Of Business Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/inna-petrenko-8400a624/,normal
ROOMDAO,8,Alexey Etchein,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/aetchein/,normal
ROOMDAO,9,Ishtvan Torpoi,Nederland,Takes part in this project only,linkedin,https://www.linkedin.com/in/ishtvan-torpoi-44410565/,normal
ROOMDAO,10,Vasili Solianik,Blockchain specialist,No participating data,website,https://www.facebook.com/people/Василий-Соляник/100024904744999,normal
ROOMDAO,11,Julia Yashkova,Lawyer,Takes part in this project only,linkedin,https://www.linkedin.com/in/yuliya-yashkova-0b34b4132/,advsisor
ROOMDAO,12,Timothy Lee,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/timothyleepdx/,advsisor
ROOMDAO,13,Nikolay Chernov,Travel Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/nikolay-chernov-48106722/,advsisor
ROOMDAO,14,Karan Chinoy,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/karan-chinoy-66a2271b/,advsisor
ROOMDAO,15,Roman Gumbatov,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/roman-gumbatov/,advsisor
ROOMDAO,16,Reda Rahal SABIR,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/reda-rahal-sabir/,advsisor
ROOMDAO,17,Alexander Onikienko,"Cofounder, ICO Advisor",Participates in several projects,linkedin,https://www.linkedin.com/in/aleksandr-onikienko-04183659/,advsisor
Alchemy,1,Sheng-Wen(Justin) Cheng,Co-Founder & CEO,No description,linkedin,https://www.linkedin.com/in/justin-cheng-1b3628b4/,normal
Alchemy,2,Chen-Hsing (James) Fan,Co-Founder & COO,No description,linkedin,https://www.linkedin.com/in/fan-james-913068153/,normal
Alchemy,3,Benjamin Chen,Blockchain & Security Expert,No description,linkedin,https://www.linkedin.com/in/benjamin-chen/,normal
Excoins Exchange,1,Feliks Tomasz,Serial Entrepreneur & Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/tomasz-feliks-a1932a13b/,normal
Excoins Exchange,2,Benedykt Karwiński,"Head of PR, Marketing & Communications",Takes part in this project only,linkedin,https://www.linkedin.com/in/benedykt-karwi%C5%84ski-26153b11a/,normal
Excoins Exchange,3,Ludwik Giżyńsk,Laywer & Head of Legal Operations,Takes part in this project only,linkedin,https://www.linkedin.com/in/ludwik-gi%C5%BCy%C5%84ski-708733112/,normal
Excoins Exchange,4,Donat Wila,developer with strong blockchain experience.,Takes part in this project only,linkedin,https://www.linkedin.com/in/donatwila/,normal
Excoins Exchange,5,Marcelina Jugureanu,Financial industry professional.,Takes part in this project only,linkedin,https://www.linkedin.com/in/marcelinaj/,normal
Excoins Exchange,6,Klaudia Michalewska,Blockchain and Senior Fullstack Tech Lead,Takes part in this project only,linkedin,https://www.linkedin.com/in/klaudiakrenska/,normal
Excoins Exchange,7,Oliwia Rodecka,"Social Community & Support Manager on Telegram, Twitter and Facebook.",Takes part in this project only,linkedin,https://www.linkedin.com/in/oliwia-rodecka-193472144/,normal
Excoins Exchange,8,Tomasz Idzi,Expert in digital marketing strategy and product building.,Takes part in this project only,linkedin,https://www.linkedin.com/in/tomasz-idzi-342666152/,normal
Excoins Exchange,9,Jarogniew Kaczkowski,Investor,Takes part in this project only,linkedin,https://www.linkedin.com/in/jarogniew-kaczkowski-b7a58186/,normal
Excoins Exchange,10,Bartłomiej Krzysztyński,Board advisor & Business Strategy Operations,Takes part in this project only,linkedin,https://www.linkedin.com/in/bart%C5%82omiej-krzyszty%C5%84ski-13b87b168/,normal
Excoins Exchange,11,Róża Kwiatkowska,Investor,Takes part in this project only,linkedin,https://www.linkedin.com/in/r%C3%B3%C5%BCa-kwiatkowska-61505a95/,normal
GENEXI,1,Katrina Arden,Escrow,Takes part in this project only,linkedin,https://www.linkedin.com/in/katrina-arden-70260426/,normal
GENEXI,2,Alexey Zhelyaskov,"Founder, CEO",Takes part in this project only,linkedin,https://www.linkedin.com/in/alexey-zhelyaskov-2a46aa15b/,normal
Developeo,1,Ryan Rutan,Business Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/ryan-rutan/,normal
Developeo,2,Dave Sifry,Tech Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/dsifry,normal
Developeo,3,Hermione Way,Business Advisor,Participates in several projects,linkedin,https://www.linkedin.com/in/hermioneway/,normal
Developeo,4,Sydney Ifergan,Marketing Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/sydneyifergan/,normal
Developeo,5,Shaf Zaman,Advisor,Participates in several projects,linkedin,https://www.linkedin.com/in/shafzaman/,normal
Developeo,6,Aytunc Ozturk,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/aytunc/,normal
Developeo,7,Debersom Murashige,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/murashige/,normal
Developeo,8,Andras Fuchs,Developer,Participates in several projects,linkedin,https://www.linkedin.com/in/andrasfuchs/,normal
Developeo,9,Marcio Porto,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/marcioporto/,normal
Developeo,10,Berk Cengiz,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/berkcengiz/,normal
Developeo,11,Inanc Akturk,Digital Marketing,Takes part in this project only,linkedin,https://www.linkedin.com/in/inanc-akturk-bb659239/,normal
Developeo,12,Sara Rubystone,Community Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/sara-rubenstein-b6122147/,normal
Developeo,13,Murat Akcay,FINANCIAL MATTERS,Takes part in this project only,linkedin,https://www.linkedin.com/in/murat-akcay-480b9514/,normal
Developeo,14,Deadley,LEGENDARY BOUNTY MANAGER,Takes part in this project only,linkedin,https://www.linkedin.com/company/18461255/,normal
Developeo,15,Scannavino Law Llp,LEGAL,Takes part in this project only,linkedin,https://www.linkedin.com/company/scannavino-lamb,normal
MedChain,1,Joachim Sandgaard,CEO & Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/joachim-sandgaard-859441b/,normal
MedChain,2,Steve Wishstar,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/swishstar/,normal
MedChain,3,Eric Lafleche,CMO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ericlafleche,normal
Nagricoin,1,Evgeniy Kozarenko,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/evgeniy-kozarenko,normal
Nagricoin,2,Andrey Samolyotov,Сo-founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/andrey-samolyotov-75456274/,normal
Nagricoin,3,Tygran Arakelian,Financial planning and strategy,Takes part in this project only,linkedin,https://www.linkedin.com/in/tygran-arakelian/,normal
